一级分类,属性名,scope
安全防护,防护等级,SPU
安全防护,认证标准,SPU
电工电气,额定电压,SKU
电工电气,芯数/平方数,SKU
卫浴照明,功率W,SKU
卫浴照明,IP防护等级,SPU
卫浴照明,安装方式,SKU
五金紧固,螺纹规格,SKU
五金紧固,长度,SKU
五金紧固,表面处理,SPU
工具耗材,适配机型,SKU
工具耗材,量程,SKU
工具耗材,精度,SKU
给水排水,公称外径,SKU
给水排水,壁厚,SKU
给水排水,承压PN,SPU
消防暖通,工作压力,SPU
消防暖通,口径,SKU
消防暖通,风量,SKU
消防暖通,功率,SKU
防水保温,厚度,SKU
防水保温,容重,SKU
防水保温,导热系数,SPU
防水保温,固含量,SKU
装饰材料,单品规格,SKU
装饰材料,厚度,SKU
装饰材料,吸水率,SPU
装饰材料,涂布率,SKU
日杂用品,外形尺寸,SKU
日杂用品,承重,SKU
日杂用品,容量,SKU
建筑钢材,规格型号,SKU
建筑钢材,米重,SKU
建筑钢材,材质牌号,SPU
机械设备,功率,SKU
机械设备,流量,SKU
机械设备,扬程,SKU
机械设备,外形尺寸,SKU
办公用品,规格,SKU
办公用品,包装,SKU
办公用品,数量,SKU
办公用品,适配机型,SKU
